NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
179.5,305549,148944,175835,120495,159913,182147,32145,
180.5,300860,145423,176281,114189,155963,178543,32183,
181.5,295380,141847,176607,108438,152655,174985,32033,
182.5,289227,138221,176760,103205,149934,171469,31721,
183.5,282526,134552,176689,98456,147747,167994,31271,
184.5,275404,130849,176344,94156,146045,164560,30709,
185.5,267983,127120,175676,90272,144776,161165,30062,
186.5,260380,123375,174640,86773,143891,157812,29351,
187.5,252703,119625,173196,83630,143338,154498,28598,
188.5,245051,115880,171310,80814,143065,151224,27821,
189.5,237509,112152,168951,78300,143019,147986,27036,
190.5,230150,108451,166100,76063,143142,144781,26256,
191.5,223037,104788,162743,74080,143375,141604,25491,
192.5,216218,101174,158876,72329,143655,138450,24752,
193.5,209730,97620,154504,70791,143920,135313,24046,
194.5,203600,94134,149644,69445,144101,132185,23379,
195.5,197846,90726,144320,68273,144131,129059,22755,
196.5,192474,87405,138567,67258,143941,125929,22180,
197.5,187485,84177,132428,66382,143464,122787,21655,
198.5,182872,81051,125954,65629,142635,119628,21182,
199.5,178622,78031,119204,64983,141396,116447,20761,
200.5,174717,75122,112241,64428,139694,113240,20391,
201.5,171133,72328,105131,63948,137484,110005,20070,
202.5,167843,69653,97945,63528,134734,106741,19796,
203.5,164816,67099,90751,63153,131426,103449,19564,
204.5,162017,64667,83617,62807,127554,100133,19372,
205.5,159409,62359,76608,62476,123129,96796,19216,
206.5,156950,60173,69784,62144,118178,93446,19094,
207.5,154599,58110,63199,61798,112743,90090,19001,
208.5,152310,56168,56900,61422,106881,86736,18936,
209.5,150035,54347,50926,61004,100663,83395,18892,
210.5,147729,52643,45309,60530,94167,80076,18866,
211.5,145342,51056,40071,59989,87483,76788,18850,
212.5,142827,49581,35227,59371,80701,73541,18834,
213.5,140136,48217,30783,58664,73913,70343,18808,
214.5,137227,46960,26740,57862,67208,67199,18758,
215.5,134057,45808,23090,56958,60671,64117,18672,
216.5,130593,44758,19820,55947,54374,61098,18537,
217.5,126803,43806,16913,54827,48382,58146,18338,
218.5,122668,42949,14349,53597,42747,55262,18067,
219.5,118174,42184,12103,52258,37505,52445,17715,
220.5,113319,41509,10151,50814,32684,49695,17276,
221.5,108111,40920,8467,49271,28295,47013,16750,
222.5,102572,40415,7023,47635,24341,44397,16140,
223.5,96733,39990,5794,45916,20812,41849,15451,
224.5,90637,39644,4755,44125,17693,39371,14695,
225.5,84338,39373,3882,42273,14960,36965,13887,
226.5,77900,39175,3154,40373,12586,34637,13043,
227.5,71391,39047,2549,38438,10539,32393,12186,
228.5,64887,38987,2051,36482,8789,30239,11337,
229.5,58464,38992,1643,34520,7301,28184,10522,
230.5,52197,39060,1311,32564,6046,26236,9766,
231.5,46159,39189,1041,30628,4993,24402,9092,
232.5,40414,39375,824,28723,4115,22690,8521,
233.5,35019,39616,649,26862,3385,21106,8068,
234.5,30019,39908,510,25054,2782,19655,7739,
235.5,25448,40249,399,23307,2285,18338,7533,
236.5,21326,40635,312,21630,1877,17156,7436,
237.5,17660,41062,243,20029,1543,16107,7431,
238.5,14446,41527,189,18507,1271,15188,7497,
239.5,11670,42025,146,17068,1048,14391,7613,
240.5,9305,42551,113,15714,867,13710,7762,
241.5,7323,43099,87,14446,719,13135,7930,
242.5,5685,43665,67,13263,598,12656,8107,
243.5,4352,44243,52,12165,500,12262,8285,
244.5,3285,44824,40,11148,421,11944,8459,
245.5,2444,45403,31,10211,355,11689,8627,
246.5,1792,45972,24,9350,302,11488,8787,
247.5,1294,46522,18,8561,258,11331,8937,
248.5,920,47046,14,7841,223,11209,9076,
249.5,645,47535,11,7185,193,11114,9203,
250.5,444,47979,8,6590,169,11038,9318,
251.5,302,48370,7,6050,149,10975,9418,
252.5,201,48698,5,5563,133,10920,9503,
253.5,132,48954,4,5123,119,10866,9572,
254.5,85,49128,3,4727,108,10810,9622,
255.5,54,49213,2,4371,99,10748,9653,
256.5,34,49199,2,4053,91,10676,9662,
257.5,21,49079,2,3767,85,10591,9649,
258.5,13,48847,1,3513,80,10491,9613,
259.5,7,48496,0,3287,76,10373,9552,
260.5,4,48022,0,3085,73,10237,9465,
261.5,2,47421,0,2908,71,10081,9352,
262.5,1,46691,0,2751,70,9903,9212,
263.5,0,45832,0,2613,69,9703,9046,
264.5,0,44845,0,2493,69,9482,8854,
265.5,0,43733,0,2390,70,9239,8636,
266.5,0,42501,0,2301,71,8975,8393,
267.5,0,41155,0,2226,73,8691,8127,
268.5,0,39702,0,2165,76,8389,7839,
269.5,0,38153,0,2115,80,8070,7532,
270.5,0,36519,0,2078,84,7736,7207,
271.5,0,34811,0,2051,89,7390,6866,
272.5,0,33043,0,2035,96,7035,6514,
273.5,0,31229,0,2030,104,6673,6151,
274.5,0,29383,0,2035,113,6306,5782,
275.5,0,27521,0,2050,123,5939,5410,
276.5,0,25657,0,2077,136,5574,5036,
277.5,0,23805,0,2114,151,5214,4665,
278.5,0,21979,0,2162,168,4862,4299,
279.5,0,20193,0,2222,188,4521,3941,
280.5,0,18459,0,2294,211,4193,3593,
281.5,0,16787,0,2379,238,3881,3257,
282.5,0,15187,0,2478,270,3587,2937,
283.5,0,13666,0,2592,307,3313,2633,
284.5,0,12232,0,2721,349,3061,2349,
285.5,0,10888,0,2868,399,2831,2084,
286.5,0,9639,0,3033,456,2626,1842,
287.5,0,8485,0,3219,523,2445,1624,
288.5,0,7427,0,3426,600,2291,1432,
289.5,0,6463,0,3657,689,2162,1270,
290.5,0,5592,0,3913,791,2059,1140,
291.5,0,4810,0,4196,909,1983,1047,
292.5,0,4113,0,4509,1044,1933,991,
293.5,0,3496,0,4854,1198,1910,974,
294.5,0,2953,0,5232,1375,1912,993,
295.5,0,2480,0,5647,1575,1940,1041,
296.5,0,2070,0,6099,1803,1994,1115,
297.5,0,1717,0,6592,2060,2074,1207,
298.5,0,1415,0,7127,2349,2178,1315,
