NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
170.5,314657,59420,340249,121890,118912,191025,56944,
171.5,260842,59206,411241,109095,121397,192356,64147,
172.5,211954,59096,483023,97486,123618,195035,76262,
173.5,169010,59046,549854,87005,125538,198091,89867,
174.5,132426,59010,605243,77586,127131,200279,102216,
175.5,102118,58941,642927,69161,128376,200305,111335,
176.5,77637,58797,658037,61657,129265,197079,115933,
177.5,58309,58533,648124,55003,129797,189953,115402,
178.5,43353,58112,613759,49126,129980,178866,109841,
179.5,31985,57499,558511,43955,129831,164356,99997,
180.5,23474,56667,488273,39422,129372,147442,87112,
181.5,17181,55598,410134,35464,128632,129402,72690,
182.5,12576,54282,331116,32018,127644,111527,58253,
183.5,9230,52720,257100,29031,126444,94905,45145,
184.5,6813,50924,192162,26450,125067,80283,34410,
185.5,5071,48913,138405,24230,123551,68034,26724,
186.5,3817,46717,96184,22329,121929,58195,22226,
187.5,2914,44372,64588,20712,120234,50564,20311,
188.5,2261,41919,41973,19346,118495,44799,19881,
189.5,1789,39400,26442,18204,116736,40514,20008,
190.5,1446,36860,16176,17262,114978,37344,20208,
191.5,1197,34339,9627,16500,113235,34980,20310,
192.5,1017,31877,5584,15902,111517,33179,20289,
193.5,888,29506,3162,15455,109828,31768,20170,
194.5,798,27254,1752,15146,108170,30624,19984,
195.5,738,25143,951,14968,106535,29667,19757,
196.5,705,23187,507,14916,104914,28845,19503,
197.5,694,21396,265,14984,103292,28126,19231,
198.5,704,19775,137,15170,101650,27487,18943,
199.5,737,18324,69,15475,99966,26914,18637,
200.5,795,17041,35,15899,98215,26397,18311,
201.5,883,15921,17,16444,96369,25927,17959,
202.5,1008,14958,8,17113,94400,25497,17576,
203.5,1180,14144,4,17910,92278,25103,17156,
204.5,1414,13471,2,18840,89976,24741,16694,
205.5,1731,12935,0,19907,87469,24408,16184,
206.5,2158,12527,0,21116,84734,24107,15623,
207.5,2734,12245,0,22470,81755,23841,15007,
208.5,3505,12084,0,23974,78522,23617,14335,
209.5,4537,12044,0,25627,75032,23448,13607,
210.5,5905,12124,0,27431,71291,23350,12827,
211.5,7703,12328,0,29381,67316,23346,12002,
212.5,10035,12658,0,31471,63133,23459,11148,
213.5,13009,13121,0,33692,58777,23720,10291,
214.5,16719,13725,0,36030,54291,24153,9478,
215.5,21226,14479,0,38467,49727,24780,8782,
216.5,26525,15396,0,40979,45141,25608,8303,
217.5,32513,16486,0,43539,40592,26626,8147,
218.5,38957,17763,0,46114,36142,27795,8376,
219.5,45481,19241,0,48668,31847,29047,8952,
220.5,51568,20931,0,51161,27760,30284,9746,
221.5,56615,22842,0,53548,23928,31387,10586,
222.5,60009,24982,0,55787,20386,32233,11310,
223.5,61241,27352,0,57832,17162,32717,11801,
224.5,60019,29946,0,59638,14272,32775,12018,
225.5,56352,32750,0,61165,11719,32397,11997,
226.5,50574,35739,0,62375,9500,31638,11856,
227.5,43295,38875,0,63237,7601,30602,11748,
228.5,35286,42111,0,63726,6001,29425,11803,
229.5,27332,45380,0,63824,4674,28242,12070,
230.5,20089,48609,0,63525,3591,27163,12501,
231.5,13990,51707,0,62829,2721,26249,12998,
232.5,9220,54580,0,61745,2034,25516,13463,
233.5,5744,57127,0,60292,1499,24933,13831,
234.5,3380,59249,0,58497,1089,24443,14067,
235.5,1876,60851,0,56394,780,23980,14163,
236.5,982,61854,0,54022,551,23482,14122,
237.5,485,62195,0,51423,384,22897,13949,
238.5,225,61836,0,48645,264,22194,13652,
239.5,99,60765,0,45734,179,21355,13236,
240.5,41,58999,0,42738,119,20379,12710,
241.5,16,56584,0,39701,79,19276,12083,
242.5,6,53593,0,36666,51,18063,11369,
243.5,2,50120,0,33671,33,16765,10584,
244.5,0,46274,0,30750,21,15409,9746,
245.5,0,42177,0,27933,13,14025,8876,
246.5,0,37949,0,25242,8,12640,7995,
247.5,0,33707,0,22695,5,11281,7124,
248.5,0,29557,0,20308,3,9974,6280,
249.5,0,25591,0,18087,2,8736,5479,
250.5,0,21880,0,16037,1,7584,4735,
251.5,0,18476,0,14160,0,6527,4055,
252.5,0,15414,0,12451,0,5573,3445,
253.5,0,12707,0,10907,0,4723,2906,
254.5,0,10355,0,9519,0,3975,2438,
255.5,0,8345,0,8280,0,3325,2036,
256.5,0,6652,0,7179,0,2766,1696,
257.5,0,5248,0,6205,0,2291,1411,
258.5,0,4099,0,5349,0,1890,1174,
259.5,0,3172,0,4598,0,1554,978,
