NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
104.5,0,805511,1119085,621391,534967,616191,183720,
105.5,0,753517,1091490,594752,523846,592721,177580,
106.5,0,704799,1064381,570527,516464,571234,171805,
107.5,0,659333,1037489,548438,512578,551568,166357,
108.5,0,617063,1010572,528239,511971,533569,161198,
109.5,0,577905,983417,509710,514440,517095,156301,
110.5,0,541751,955842,492654,519799,502009,151651,
111.5,0,508466,927698,476900,527865,488186,147243,
112.5,0,477896,898872,462295,538455,475503,143089,
113.5,0,449873,869284,448705,551374,463847,139215,
114.5,0,424216,838892,436015,566412,453107,135665,
115.5,0,400737,807689,424125,583328,443176,132492,
116.5,0,379247,775701,412950,601847,433949,129755,
117.5,0,359552,742988,402419,621654,425323,127516,
118.5,0,341465,709640,392475,642381,417192,125823,
119.5,0,324800,675776,383071,663613,409452,124708,
120.5,0,309381,641538,374174,684879,401994,124168,
121.5,0,295038,607089,365761,705659,394709,124170,
122.5,0,281614,572606,357819,725388,387486,124636,
123.5,0,268961,538280,350346,743469,380211,125453,
124.5,0,256943,504304,343345,759285,372775,126478,
125.5,0,245440,470872,336830,772220,365072,127544,
126.5,0,234344,438174,330820,781681,357004,128476,
127.5,0,223564,406388,325338,787125,348483,129101,
128.5,0,213022,375679,320414,788081,339439,129259,
129.5,0,202658,346193,316079,784182,329822,128813,
130.5,0,192429,318055,312369,775182,319607,127657,
131.5,0,182304,291366,309319,760980,308794,125724,
132.5,0,172271,266204,306966,741627,297414,122985,
133.5,0,162329,242621,305344,717336,285526,119456,
134.5,0,152492,220644,304488,688472,273219,115196,
135.5,0,142781,200278,304428,655546,260607,110303,
136.5,0,133229,181506,305190,619187,247822,104916,
137.5,0,123873,164292,306793,580114,235014,99205,
138.5,0,114755,148586,309248,539107,222339,93366,
139.5,0,105916,134322,312556,496969,209953,87616,
140.5,0,97398,121427,316703,454489,198003,82178,
141.5,0,89240,109818,321656,412411,186625,77274,
142.5,0,81477,99408,327361,371404,175930,73099,
143.5,0,74135,90110,333734,332045,166005,69807,
144.5,0,67237,81834,340661,294799,156906,67482,
145.5,0,60796,74493,347985,260019,148659,66126,
146.5,0,54820,68004,355507,227942,141255,65654,
147.5,0,49307,62287,362978,198699,134654,65911,
148.5,0,44252,57268,370094,172325,128788,66698,
149.5,0,39642,52877,376501,148773,123559,67794,
150.5,0,35460,49052,381793,127932,118848,68983,
151.5,0,31684,45736,385528,109644,114518,70063,
152.5,0,28291,42877,387235,93716,110424,70854,
153.5,0,25254,40430,386445,79936,106413,71198,
154.5,0,22547,38355,382713,68084,102340,70964,
155.5,0,20142,36617,375659,57944,98073,70047,
156.5,0,18013,35186,365006,49307,93502,68378,
