NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
116.5,295150,110505,278667,430523,241027,271174,51355,
117.5,363624,107923,261150,318983,187937,247923,45722,
118.5,445005,107294,244212,235039,143041,234918,58716,
119.5,537738,108598,228455,173409,106236,230887,79987,
120.5,638059,111879,214329,128958,76971,234039,103503,
121.5,739718,117238,202137,97275,54393,242152,126692,
122.5,834271,124830,192055,74864,37486,252701,147681,
123.5,912048,134855,184166,59094,25192,263071,164625,
124.5,963761,147551,178482,48061,16509,270873,175810,
125.5,982389,163168,174966,40428,10551,274301,179982,
126.5,964806,181945,173555,35279,6576,272432,176673,
127.5,912592,204068,174159,32005,3997,265364,166395,
128.5,831738,229627,176663,30225,2370,254125,150623,
129.5,731320,258555,180922,29728,1371,240379,131603,
130.5,621603,290569,186744,30440,774,226026,112067,
131.5,512143,325119,193873,32415,427,212795,94927,
132.5,410418,361349,201977,35832,230,201961,82811,
133.5,321198,398096,210637,41014,121,194213,77170,
134.5,246615,433917,219344,48460,62,189680,77354,
135.5,186708,467178,227513,58893,31,188064,81088,
136.5,140137,496174,234517,73312,15,188831,85998,
137.5,104871,519290,239732,93060,7,191392,90454,
138.5,78705,535169,242602,119869,3,195270,93588,
139.5,59583,542863,242695,155869,2,200202,95142,
140.5,45761,541940,239763,203504,0,206194,95424,
141.5,35848,532532,233772,265281,0,213487,95398,
142.5,28790,515312,224913,343289,0,222461,96790,
143.5,23810,491405,213576,438426,0,233443,101833,
144.5,20355,462250,200297,549359,0,246452,112319,
145.5,18043,429444,185699,671398,0,260917,128378,
146.5,16619,394589,170422,795660,0,275458,148106,
147.5,15928,359157,155059,909062,0,287841,168140,
148.5,15890,324401,140116,995699,0,295221,184494,
149.5,16489,291302,125986,1039798,0,294715,193377,
150.5,17774,260559,112940,1029812,0,284217,192039,
151.5,19856,232605,101139,962392,0,263198,179522,
152.5,22916,207648,90647,844572,0,233157,157059,
153.5,27225,185717,81455,692842,0,197448,127861,
154.5,33154,166710,73502,529045,0,160482,96283,
155.5,41193,150440,66693,374534,0,126572,66690,
156.5,51969,136674,60917,244932,0,98898,42532,
157.5,66238,125157,56055,147474,0,78985,26220,
158.5,84867,115632,51990,81508,0,66800,19505,
159.5,108771,107860,48610,41242,0,61297,20907,
160.5,138797,101615,45813,19061,0,61057,25896,
161.5,175557,96698,43502,8030,0,64757,32527,
162.5,219209,92927,41592,3079,0,71361,40599,
163.5,269219,90143,40002,1073,0,80087,50068,
164.5,324165,88198,38659,339,0,90272,60668,
165.5,381639,86957,37496,97,0,101238,71892,
166.5,438322,86289,36450,25,0,112217,83047,
167.5,490270,86068,35463,6,0,122361,93319,
168.5,533393,86164,34483,1,0,130808,101874,
169.5,564040,86443,33465,0,0,136790,107976,
170.5,579579,86769,32372,0,0,139744,111096,
171.5,578821,86998,31176,0,0,139399,110999,
172.5,562189,86990,29859,0,0,135808,107772,
173.5,531591,86605,28414,0,0,129322,101803,
174.5,490049,85716,26846,0,0,120522,93698,
175.5,441187,84215,25170,0,0,110115,84186,
176.5,388694,82021,23410,0,0,98825,74002,
177.5,335876,79088,21597,0,0,87312,63803,
178.5,285372,75410,19763,0,0,76109,54107,
179.5,239026,71027,17944,0,0,65599,45268,
180.5,197907,66019,16173,0,0,56020,37481,
181.5,162431,60508,14479,0,0,47484,30807,
182.5,132517,54642,12886,0,1,40009,25208,
183.5,107759,48592,11410,0,4,33553,20584,
184.5,87570,42531,10064,0,11,28035,16806,
185.5,71294,36625,8851,0,30,23360,13737,
186.5,58282,31022,7772,0,79,19431,11251,
187.5,47938,25841,6822,0,201,16160,9237,
188.5,39743,21168,5993,0,486,13478,7601,
189.5,33260,17052,5276,0,1112,11340,6257,
190.5,28127,13511,4661,0,2395,9739,5133,
191.5,24057,10531,4137,0,4842,8713,4187,
192.5,20818,8079,3692,0,9154,8349,3519,
193.5,18229,6101,3318,0,16150,8760,3590,
194.5,16146,4539,3004,0,26522,10042,4947,
195.5,14457,3328,2743,0,40463,12198,7486,
196.5,13074,2407,2527,0,57252,15052,10789,
197.5,11925,1718,2351,0,75023,18203,14357,
198.5,10954,1212,2209,0,90944,21064,17577,
199.5,10117,845,2096,0,101889,22989,19807,
200.5,9374,584,2009,0,105428,23479,20556,
201.5,8696,400,1945,0,100706,22349,19652,
202.5,8058,271,1901,0,88775,19801,17305,
203.5,7441,183,1876,0,72213,16342,14032,
204.5,6830,123,1867,0,54206,12605,10474,
205.5,6216,82,1873,0,37556,9146,7192,
206.5,5596,55,1893,0,24026,6314,4543,
207.5,4972,37,1925,0,14199,4227,2653,
208.5,4347,25,1968,0,7758,2820,1470,
209.5,3734,17,2022,0,3921,1939,855,
210.5,3142,11,2083,0,1835,1414,616,
211.5,2586,8,2151,0,796,1108,539,
212.5,2077,5,2223,0,321,925,504,
213.5,1626,4,2298,0,120,809,483,
214.5,1237,3,2371,0,42,731,474,
215.5,915,2,2441,0,14,674,476,
216.5,656,1,2504,0,4,633,485,
217.5,455,0,2556,0,1,603,496,
218.5,306,0,2593,0,0,580,507,
219.5,199,0,2613,0,0,562,514,
220.5,125,0,2611,0,0,547,517,
221.5,76,0,2586,0,0,532,514,
222.5,44,0,2536,0,0,516,505,
223.5,25,0,2460,0,0,497,491,
224.5,14,0,2358,0,0,474,471,
225.5,7,0,2232,0,0,448,446,
226.5,4,0,2085,0,0,418,417,
227.5,2,0,1920,0,0,384,384,
228.5,0,0,1743,0,0,349,349,
229.5,0,0,1558,0,0,312,312,
230.5,0,0,1371,0,0,274,274,
231.5,0,0,1186,0,0,237,237,
232.5,0,0,1010,0,0,202,202,
233.5,0,0,845,0,0,169,169,
234.5,0,0,694,0,0,139,139,
235.5,0,0,560,0,0,112,112,
236.5,0,0,444,0,0,89,89,
237.5,0,0,345,0,0,69,69,
238.5,0,0,264,0,0,53,53,
239.5,0,0,198,0,0,40,39,
240.5,0,0,145,0,0,29,29,
241.5,0,0,105,0,0,21,21,
242.5,0,0,74,0,0,15,15,
243.5,0,0,51,0,0,10,10,
244.5,0,0,35,0,0,7,7,
245.5,0,0,23,0,0,5,5,
246.5,0,0,15,0,0,3,3,
247.5,0,1,10,0,0,2,2,
248.5,0,1,6,0,0,1,1,
249.5,0,2,4,0,0,1,0,
250.5,0,2,2,0,0,0,0,
251.5,0,3,1,0,0,0,0,
252.5,0,3,0,0,0,0,0,
253.5,0,4,0,0,0,0,0,
254.5,0,5,0,0,0,0,0,
255.5,0,6,0,0,0,1,1,
256.5,0,7,0,0,0,1,1,
257.5,0,9,0,0,0,2,2,
258.5,0,11,0,0,0,2,2,
259.5,0,13,0,0,0,3,3,
260.5,0,16,0,0,0,3,3,
261.5,0,20,0,0,0,4,4,
262.5,0,24,0,0,0,5,5,
263.5,0,29,0,0,0,6,6,
264.5,0,36,0,0,0,7,7,
265.5,0,43,0,0,0,9,9,
266.5,0,52,0,0,0,10,10,
267.5,0,63,0,0,0,13,13,
268.5,0,75,0,0,0,15,15,
269.5,0,90,0,0,0,18,18,
270.5,0,107,0,0,0,21,21,
271.5,0,128,0,0,0,26,26,
272.5,0,151,0,0,0,30,30,
273.5,0,179,0,0,0,36,36,
274.5,0,210,0,0,0,42,42,
275.5,0,247,0,0,0,49,49,
276.5,0,289,0,0,0,58,58,
277.5,0,336,0,0,0,67,67,
278.5,0,390,0,0,0,78,78,
279.5,0,451,0,0,0,90,90,
280.5,0,520,0,0,0,104,104,
281.5,0,597,0,0,0,119,119,
282.5,0,684,0,0,0,137,137,
283.5,0,779,0,0,0,156,156,
284.5,0,885,0,0,0,177,177,
285.5,0,1002,0,0,0,200,200,
286.5,0,1129,0,0,0,226,226,
287.5,0,1268,0,0,0,254,254,
288.5,0,1419,0,0,0,284,284,
289.5,0,1583,0,0,0,317,317,
290.5,0,1758,0,0,0,352,352,
291.5,0,1945,0,0,0,389,389,
292.5,0,2145,0,0,0,429,429,
293.5,0,2356,0,0,0,471,471,
294.5,0,2579,0,0,0,516,516,
295.5,0,2812,0,0,0,562,562,
296.5,0,3055,0,0,0,611,611,
297.5,0,3307,0,0,0,661,661,
298.5,0,3566,0,0,0,713,713,
299.5,0,3832,0,0,0,766,766,
300.5,0,4102,0,0,0,820,820,
301.5,0,4376,0,0,0,875,875,
302.5,0,4651,0,0,0,930,930,
303.5,0,4925,0,0,0,985,985,
304.5,0,5197,0,0,0,1039,1039,
305.5,0,5464,0,0,0,1093,1093,
306.5,0,5724,0,0,0,1145,1145,
307.5,0,5976,0,0,0,1195,1195,
308.5,0,6216,0,0,1,1243,1243,
309.5,0,6443,0,0,2,1289,1289,
310.5,0,6656,0,0,4,1332,1331,
311.5,0,6851,0,0,6,1371,1370,
312.5,0,7027,0,0,9,1407,1405,
313.5,0,7184,0,0,14,1440,1436,
314.5,0,7318,0,0,22,1468,1463,
315.5,0,7430,0,0,32,1492,1484,
316.5,0,7518,0,0,46,1513,1501,
317.5,0,7581,0,0,67,1530,1513,
318.5,0,7620,0,0,94,1543,1519,
319.5,0,7633,0,0,131,1553,1520,
320.5,0,7620,0,0,179,1560,1516,
321.5,0,7583,0,0,242,1565,1505,
322.5,0,7522,0,0,321,1569,1490,
323.5,0,7437,0,0,421,1572,1469,
324.5,0,7329,0,0,545,1575,1442,
325.5,0,7200,0,0,696,1579,1412,
326.5,0,7050,0,0,878,1586,1377,
327.5,0,6883,0,0,1092,1595,1339,
328.5,0,6698,0,0,1343,1608,1299,
329.5,0,6498,0,0,1632,1626,1258,
330.5,0,6285,0,0,1961,1649,1219,
331.5,0,6060,0,0,2329,1678,1185,
