NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
120.5,280754,285251,134496,641524,122343,292873,93789,
121.5,290343,273633,137395,613515,117979,286573,88812,
122.5,297829,263266,140740,573341,113874,277810,81736,
123.5,302872,253997,144478,523174,110049,266914,73050,
124.5,305257,245627,148563,466017,106516,254396,63449,
125.5,304913,237932,152955,405302,103275,240875,53763,
126.5,301916,230663,157623,344430,100323,226991,44875,
127.5,296482,223561,162537,286361,97655,213319,37625,
128.5,288943,216363,167676,233339,95267,200318,32637,
129.5,279713,208820,173021,186766,93155,188295,30055,
130.5,269257,200707,178559,147238,91322,177417,29412,
131.5,258048,191840,184277,114686,89772,167724,29920,
132.5,246544,182088,190164,88567,88515,159176,30901,
133.5,235160,171390,196210,68068,87565,151679,31970,
134.5,224252,159762,202401,52270,86940,145125,32987,
135.5,214115,147299,208720,40270,86661,139413,33954,
136.5,204976,134172,215145,31256,86752,134460,34935,
137.5,197006,120617,221644,24540,87236,130209,36005,
138.5,190324,106916,228178,19566,88140,126625,37217,
139.5,185010,93374,234697,15899,89487,123693,38594,
140.5,181111,80292,241135,13210,91299,121410,40127,
141.5,178654,67946,247415,11255,93594,119773,41777,
142.5,177649,56564,253446,9854,96383,118779,43496,
143.5,178094,46312,259121,8880,99667,118415,45226,
144.5,179982,37289,264322,8246,103435,118655,46916,
145.5,183293,29527,268919,7893,107662,119459,48522,
146.5,187997,22996,272774,7786,112299,120770,50011,
147.5,194048,17620,275748,7908,117276,122520,51363,
148.5,201376,13288,277704,8258,122497,124625,52567,
149.5,209881,9868,278512,8850,127834,126989,53621,
150.5,219425,7221,278059,9710,133133,129510,54530,
151.5,229821,5210,276255,10881,138211,132076,55300,
152.5,240833,3710,273038,12416,142865,134572,55937,
153.5,252163,2609,268383,14384,146879,136884,56443,
154.5,263462,1815,262300,16868,150036,138896,56812,
155.5,274326,1250,254845,19960,152130,140502,57026,
156.5,284315,853,246108,23764,152987,141606,57059,
157.5,292969,579,236222,28383,152474,142125,56872,
158.5,299827,390,225350,33919,150515,142000,56420,
159.5,304463,262,213680,40453,147096,141191,55658,
160.5,306507,176,201418,48042,142272,139683,54548,
161.5,305681,118,188776,56695,136163,137486,53066,
162.5,301814,79,175966,66365,128944,134634,51213,
163.5,294869,54,163189,76935,120835,131176,49022,
164.5,284940,37,150628,88213,112080,127179,46556,
165.5,272255,25,138444,99927,102935,122717,43916,
166.5,257159,18,126770,111740,93647,117867,41228,
167.5,240092,13,115712,123259,84443,112704,38631,
168.5,221559,9,105345,134066,75518,107299,36261,
169.5,202094,7,95720,143742,67028,101718,34224,
170.5,182231,5,86860,151904,59091,96018,32574,
171.5,162471,4,78770,158229,51783,90252,31299,
172.5,143261,3,71435,162481,45146,84465,30326,
173.5,124970,3,64827,164526,39188,78703,29541,
174.5,107886,2,58910,164336,33897,73006,28823,
175.5,92209,2,53639,161988,29240,67416,28063,
176.5,78060,2,48965,157649,25173,61970,27181,
177.5,65482,2,44839,151559,21643,56705,26134,
178.5,54459,2,41212,144006,18596,51655,24906,
179.5,44926,2,38035,135306,15976,46849,23509,
180.5,36780,2,35263,125781,13731,42312,21971,
181.5,29900,3,32856,115740,11810,38062,20329,
182.5,24148,3,30774,105466,10169,34112,18626,
183.5,19386,4,28984,95208,8767,30470,16904,
184.5,15478,5,27455,85173,7569,27136,15204,
185.5,12296,7,26160,75529,6544,24107,13560,
186.5,9725,10,25076,66402,5666,21376,12000,
187.5,7661,13,24183,57883,4911,18930,10551,
188.5,6014,19,23463,50029,4262,16757,9230,
189.5,4707,27,22902,42870,3700,14841,8053,
190.5,3673,38,22489,36416,3214,13166,7032,
191.5,2860,56,22212,30657,2792,11716,6176,
192.5,2223,82,22066,25570,2424,10473,5492,
193.5,1725,120,22042,21122,2103,9422,4977,
194.5,1337,176,22138,17272,1821,8549,4627,
195.5,1035,258,22350,13974,1574,7838,4423,
196.5,800,375,22676,11181,1357,7278,4342,
197.5,619,543,23116,8841,1166,6857,4356,
198.5,478,780,23671,6905,998,6566,4440,
199.5,369,1108,24343,5324,851,6399,4573,
200.5,285,1556,25132,4049,722,6349,4741,
201.5,220,2158,26043,3035,609,6413,4934,
202.5,170,2951,27079,2242,511,6591,5148,
203.5,131,3978,28243,1631,426,6882,5383,
204.5,101,5280,29539,1167,353,7288,5641,
205.5,78,6896,30971,821,290,7811,5926,
206.5,60,8858,32541,568,237,8453,6247,
207.5,47,11187,34254,386,192,9213,6612,
208.5,36,13885,36109,258,154,10088,7028,
209.5,28,16935,38107,169,122,11072,7503,
210.5,21,20294,40247,109,96,12153,8041,
211.5,16,23894,42524,68,75,13316,8639,
212.5,13,27642,44933,42,58,14538,9291,
213.5,10,31425,47463,26,45,15794,9983,
214.5,8,35116,50103,15,34,17055,10698,
215.5,6,38579,52835,9,25,18291,11417,
216.5,4,41684,55640,5,19,19470,12120,
217.5,3,44314,58492,3,14,20565,12787,
218.5,3,46371,61363,2,10,21550,13405,
219.5,2,47788,64220,0,7,22404,13961,
220.5,2,48528,67028,0,5,23113,14451,
221.5,1,48589,69748,0,4,23668,14874,
222.5,0,48000,72338,0,3,24068,15232,
223.5,0,46817,74755,0,2,24315,15531,
224.5,0,45118,76956,0,1,24415,15776,
