NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
81.5,450811,3246463,663264,2213204,1161809,1547110,522637,
82.5,335973,3077983,682849,2190003,1134323,1484226,506029,
83.5,270127,2836831,703918,2062752,1092665,1393259,466856,
84.5,237021,2562685,724518,1851193,1041977,1283479,413794,
85.5,228202,2286804,742747,1589702,987704,1167032,355395,
86.5,240863,2029433,756909,1315794,934783,1055556,298635,
87.5,276754,1800820,765658,1059948,887197,958075,247674,
88.5,341937,1603821,768125,840607,847889,880476,203535,
89.5,446865,1436646,763980,664548,818901,826188,165317,
90.5,605942,1295042,753431,530338,801622,797275,133712,
91.5,835189,1173800,737155,432337,797058,795108,118317,
92.5,1146442,1067688,716174,363771,806039,820022,139110,
93.5,1537523,972025,691711,318507,829353,869824,199196,
94.5,1981043,883025,665053,291806,867780,937741,281776,
95.5,2418795,797999,637422,280473,921994,1011337,367995,
96.5,2770137,715436,609893,282726,992318,1074102,438955,
97.5,2956611,634943,583343,297974,1078306,1110236,478195,
98.5,2932926,557052,558434,326550,1178129,1110618,477047,
99.5,2706430,482903,535615,369378,1287836,1076433,438536,
100.5,2332750,413881,515154,427528,1400612,1017985,376924,
101.5,1891152,351258,497160,501574,1506334,949496,313043,
102.5,1455418,295949,481619,590770,1591816,883114,266572,
103.5,1075059,248377,468421,692164,1642175,825239,245723,
104.5,771534,208484,457390,799899,1643460,776153,242556,
105.5,544898,175819,448301,905113,1586191,732065,243356,
106.5,383614,149683,440899,996761,1468770,687946,239628,
107.5,272569,129262,434912,1063427,1299303,639895,229335,
108.5,197714,113749,430058,1095740,1094702,586393,214093,
109.5,147907,102421,426059,1088635,876956,528396,196477,
110.5,115088,94687,422647,1042616,667870,468581,178339,
111.5,93766,90114,419568,963554,484262,410253,160368,
112.5,80365,88433,416592,861114,335362,356373,142619,
113.5,72646,89542,413517,746468,222884,309011,125248,
114.5,69300,93504,410174,630072,143066,269223,108821,
115.5,69669,100547,406431,520133,89384,237233,94149,
116.5,73582,111058,402194,421960,54843,212727,81946,
117.5,81261,125570,397408,338107,33373,195144,72570,
118.5,93275,144731,392057,268959,20352,183875,65977,
119.5,110494,169232,386155,213483,12570,178387,61882,
120.5,134019,199689,379749,169903,7946,178261,60038,
121.5,165039,236455,372904,136203,5191,183159,60436,
122.5,204554,279365,365705,110443,3537,192721,63297,
123.5,252935,327433,358242,90923,2532,206413,68836,
124.5,309335,378576,350608,76243,1917,223336,76927,
125.5,371069,429449,342891,65294,1541,242049,86897,
126.5,433196,475527,335168,57230,1319,260488,97501,
127.5,488636,511546,327504,51417,1204,276061,107075,
128.5,529106,532301,319944,47396,1169,285983,113793,
129.5,546890,533705,312514,44843,1204,287831,116054,
130.5,537015,513830,305224,43541,1312,280184,112905,
131.5,499047,473599,298062,43357,1503,263113,104385,
132.5,437651,416833,291002,44224,1798,238301,91649,
133.5,361531,349577,284001,46131,2231,208694,76789,
134.5,281082,278867,277008,49111,2852,177784,62407,
135.5,205716,211316,269961,53233,3726,148790,50994,
136.5,141893,151952,262799,58588,4939,124034,44057,
137.5,92438,103615,255460,65279,6598,104678,41266,
138.5,57055,66976,247887,73399,8823,90828,40869,
139.5,33499,41036,240034,83006,11742,81863,41196,
140.5,18801,23836,231869,94091,15475,76814,41398,
141.5,10144,13132,223375,106538,20104,74659,41265,
142.5,5296,6867,214553,120085,25653,74491,40892,
143.5,2694,3411,205425,134290,32056,75575,40448,
144.5,1346,1612,196028,148517,39141,77329,40076,
145.5,666,726,186418,161949,46621,79276,39831,
146.5,329,312,176665,173636,54112,81011,39670,
147.5,163,128,166848,182589,61166,82179,39466,
148.5,83,50,157053,187905,67319,82482,39045,
149.5,43,19,147366,188903,72148,81696,38233,
150.5,23,7,137874,185247,75318,79694,36907,
151.5,13,2,128653,177021,76622,76462,35019,
152.5,7,0,119774,164738,76002,72105,32608,
153.5,5,0,111295,149274,73542,66823,29792,
154.5,3,0,103260,131737,69453,60891,26742,
155.5,2,0,95701,113307,64040,54610,23651,
156.5,2,0,88636,95086,57666,48278,20699,
157.5,1,0,82073,77973,50714,42152,18033,
158.5,1,0,76007,62598,43554,36432,15742,
159.5,1,0,70426,49311,36517,31251,13860,
160.5,1,0,65310,38212,29876,26680,12367,
161.5,1,0,60632,29211,23836,22736,11209,
162.5,2,0,56363,22095,18530,19398,10312,
163.5,2,0,52471,16590,14024,16617,9603,
164.5,3,0,48923,12407,10321,14331,9020,
165.5,4,0,45685,9271,7378,12468,8516,
166.5,6,0,42725,6946,5117,10959,8060,
167.5,9,0,40012,5235,3440,9739,7635,
168.5,15,0,37516,3980,2238,8750,7230,
169.5,27,0,35210,3062,1407,7941,6840,
170.5,47,0,33069,2389,855,7272,6464,
171.5,86,0,31071,1895,501,6711,6100,
172.5,157,0,29197,1532,283,6234,5747,
173.5,290,0,27429,1263,154,5827,5405,
174.5,534,0,25753,1063,81,5486,5070,
175.5,977,0,24158,914,41,5218,4740,
176.5,1763,0,22635,803,20,5044,4410,
177.5,3123,0,21176,720,9,5006,4083,
178.5,5405,0,19777,660,4,5169,3789,
179.5,9096,0,18435,616,2,5630,3637,
180.5,14825,0,17148,585,0,6512,3887,
181.5,23320,0,15916,565,0,7960,4902,
182.5,35291,0,14739,552,0,10116,6897,
183.5,51247,0,13619,546,0,13082,9890,
